command,description
show ip interface,Use the show ip interface EXEC mode command to display the usability status of configured IP interfaces.
arp,Use the arp Global Configuration mode command to add a permanent entry to the Address Resolution Protocol (ARP) cache. Use the no form of this command to remove an entry from the ARP cache.
arp timeout (Global),Use the arp timeout Global Configuration mode command to set the time interval during which an entry remains in the ARP cache. Use the no form of this command to restore the default configuration.
ip arp proxy disable,Use the ip arp proxy disable Global Configuration mode command to globally disable proxy Address Resolution Protocol (ARP). Use the no form of this command reenable proxy ARP.
ip proxy-arp,Use the ip proxy-arp Interface Configuration mode command to enable an ARP proxy on specific interfaces. Use the no form of this command disable it.
clear arp-cache,Use the clear arp-cache Privileged EXEC mode command to delete all dynamic entries from the ARP cache.
show arp,Use the show arp Privileged EXEC mode command to display entries in the ARP table.
show arp configuration,Use the show arp configuration privileged EXEC command to display the global and interface configuration of the ARP protocol.
interface ip,Use the interface ip Global Configuration mode command to enter the IP Interface Configuration mode.
ip helper-address,Use the ip helper-address Global Configuration mode command to enable the forwarding of UDP Broadcast packets received on an interface to a specific (helper) address. Use the no form of this command to disable the forwarding of broadcast packets to a specific (helper) address.
show ip helper-address,Use the show ip helper-address Privileged EXEC mode command to display the IP helper addresses configuration on the system.
show ip dhcp client interface,Use the show ip dhcp client interface command in User EXEC or Privileged EXEC mode to display DHCP client interface information.
accept-lifetime,"To set the time period during which the authentication key on a key chain is received as valid, use the accept-lifetime command inkey chain key configuration mode. To revert to the default value, use the no form of this command."
directed-broadcast,Use the directed-broadcast IP Interface Configuration mode command to enable the translation of a directed broadcast to physical broadcasts. Use the no form of this command to disable this function.
ip policy route-map,"To enable policy routing on an interface and identify a route map, use the ip policy route-map command in Interface Configuration mode. To disable policy routing, use the no form of this command."
ip redirects,"Use the ip redirects command in IP Interface Configuration mode to enable the sending of ICMP redirect messages to re-send a packet through the same interface on which the packet was received. To disable the sending of redirect messages, use the no form of this command."
ip route,"To establish static routes, use the ip route command in global configuration mode. To remove static routes, use the no form of this command."
ip routing,"To enable IP routing, use the ip routing command in global configuration mode. To disable IP routing, use the no form of this command."
key-string,"To specify the authentication string for a key, use the key-string command in key chain key configuration mode. To remove the authentication string, use the no form of this command."
key (key chain),"To identify an authentication key on a key chain, use the key command in key-chain configuration mode. To remove the key from the key chain, use the no form of this command."
key chain,"To enable authentication for routing protocols, identify a group of authentication keys by using the key chain command in global configuration mode. To remove the key chain, use the no form of this command"
send-lifetime,"To set the time period during which an authentication key on a key chain is valid to be sent, use the send-lifetime command in Key Chain Key configuration mode. To revert to the default value, use the no form of this command."
show ip protocols,"To display the parameters and current state of the active IP routing protocol processes, use the show ip protocols command in user EXEC or privileged EXEC mode."
show ip route,"To display the current state of the routing table, use the show ip route command in user EXEC or privileged EXEC mode."
show ip route summary,Use the show ip route summary command in User EXEC or Privileged EXEC mode to display the current contents of the IP routing table in summary format.
show key chain,"To display authentication key information, use the show key chain command in Privileged EXEC mode."
ping,Use the ping EXEC mode command to send ICMP echo request packets to another node on the network.
ssh,"To start an encrypted session with a remote networking device, use the ssh command in user EXEC or privileged EXEC mode."
telnet,The telnet EXEC mode command logs on to a host that supports Telnet.
traceroute,"To display the routes that packets will take when traveling to their destination, use the traceroute EXEC mode command."
clear ipv6 neighbors,"Use the clear ipv6 neighbors command in privileged EXEC mode to delete all entries in the IPv6 neighbor discovery cache, except static entries."
ipv6 address,"Use the ipv6 address command in Interface Configuration mode to configure a global unicast IPv6 address based on an IPv6 general prefix and enable IPv6 processing on an interface. To remove the address from the interface, use the no form of this command."
ipv6 address anycast,"Use the ipv6 address anycast command in Interface Configuration mode to configure a global unicast IPv6 Anycast address and enable IPv6 processing on an interface. To remove the address from the interface, use the no form of this command."
ipv6 address autoconfig,"Use the ipv6 address autoconfig command in Interface Configuration mode to enable automatic configuration of IPv6 addresses using stateless auto configuration on an interface and enable IPv6 processing on the interface. Addresses are configured depending on the prefixes received in Router Advertisement messages. To disable automatic configuration of IPv6 addresses and to remove the automatically configured address from the interface, use the no form of this command."
ipv6 address eui-64,"Use the ipv6 address eui-64 command in Interface Configuration mode to configure a global unicast IPv6 address for an interface and enables IPv6 processing on the interface using an EUI-64 interface ID in the low order 64 bits of the address. To remove the address from the interface, use the no form of this command."
ipv6 address link-local,"Use the ipv6 address link-local command in Interface Configuration mode to configure an IPv6 link local address for an interface and enable IPv6 processing on the interface. To remove the manually configured link local address from the interface, use the no form of this command."
ipv6 default-gateway,"Use the ipv6 default-gateway Global Configuration mode command to define an IPv6 default gateway. To remove the IPv6 default gateway, use the no form of this command."
ipv6 enable,"Use the ipv6 enable command in Interface Configuration mode to enable IPv6 processing on an interface. To disable IPv6 processing on an interface that has not been configured with an explicit IPv6 address, use the no form of this command."
ipv6 hop-limit,"Use the ipv6 hop-limit command in Global Configuration mode to configure the maximum number of hops used in all IPv6 packets that are originated by the router. To return the hop limit to its default value, use the no form of this command."
ipv6 icmp error-interval,"Use the ipv6 icmp error-interval command in Global Configuration mode to configure the interval and bucket size for IPv6 ICMP error messages. To return the interval to its default setting, use the no form of this command."
ipv6 link-local default zone,Use the Ipv6 link-local default zone command to configure an interface to egress a link local packet without a specified interface or with the default zone 0. Use the no form of this command to return the default link local interface to the default value.
ipv6 nd advertisement-interval,"Use the ipv6 nd advertisement-interval in Interface Configuration mode to configure the advertisement interval option in router advertisements (RAs). To reset the interval to the default value, use the no form of this command."
ipv6 nd dad attempts,"Use the ipv6 nd dad attempts command in Interface Configuration mode to configure the number of consecutive neighbor solicitation messages that are sent on an interface while duplicate address detection is performed on the Unicast IPv6 addresses of the interface. To return the number of messages to the default value, use the no form of this command."
ipv6 nd hop-limit,"Use the ipv6 nd hop-limit command in Global Configuration mode to configure the maximum number of hops used in router advertisements. To return the hop limit to its default value, use the no form of this command."
ipv6 nd managed-config-flag,"Use the ipv6 nd managed-config-flag command in Interface Configuration mode to set the “managed address configuration flag” in IPv6 router advertisements. To clear the flag from IPv6 router advertisements, use the no form of this command."
ipv6 nd prefix,"Use the ipv6 nd prefix command in Interface Configuration mode to configure which IPv6 prefixes are included in IPv6 Neighbor Discovery (ND) router advertisements. To remove the prefixes, use the no form of this command."
ipv6 nd ra interval,"Use the ipv6 nd ra interval command in Interface Configuration mode to configure the interval between IPv6 router advertisement (RA) transmissions on an interface. To restore the default interval, use the no form of this command."
ipv6 nd ra lifetime,"Use the ipv6 nd ra lifetime command in Interface Configuration mode to configure the Router Lifetime value in IPv6 router advertisements on an interface. To restore the default lifetime, use the no form of this command."
ipv6 nd ra suppress,"Use the ipv6 nd ra suppress command in Interface Configuration mode to suppress IPv6 router advertisement transmissions on an interface. To re-enable the sending of IPv6 router advertisement transmissions on an interface, use the no form of this command."
ipv6 nd reachable-time,"Use the ipv6 nd reachable-time command in Interface Configuration mode to configure the amount of time that a remote IPv6 node is considered reachable after some reachability confirmation event has occurred. To restore the default time, use the no form of this command."
ipv6 nd router-preference,"Use the ipv6 nd router-preference command in Interface Configuration mode to configure a default router preference (DRP) for the router on a specific interface. To return to the default DRP, use the no form of this command."
ipv6 redirects,"Use the ipv6 redirects command in Interface Configuration mode to enable the sending of ICMP IPv6 redirect messages to re-send a packet through the same interface on which the packet was received. To disable the sending of redirect messages, use the no form of this command."
ipv6 route,"Use the ipv6 route command in Global Configuration mode to establish static IPv6 routes. To remove a previously configured static route, use the no form of this command."
ipv6 unicast-routing,"Use the ipv6 unicast-routing command in Global Configuration mode to enable the forwarding of IPv6 Unicast datagrams. To disable the forwarding of IPv6 Unicast datagrams, use the no form of this command."
ipv6 unreachables,"Use the ipv6 unreachables command in Interface Configuration mode to enable the generation of Internet Control Message Protocol for IPv6 (ICMPv6) unreachable messages for any packets arriving on a specified interface. To prevent the generation of unreachable messages, use the no form of this command."
show ipv6 interface,Use the show ipv6 interface command in user EXEC or privileged EXEC mode to display the usability status of interfaces configured for IPv6.
show ipv6 link-local default zone,Use the show ipv6 link-local default zone command in user EXEC or privileged EXEC mode to display the IPv6 link local default zone.
show ipv6 nd prefix,Use the show ipv6 nd prefix command in user EXEC or privileged EXEC mode to display IPv6 prefixes included in IPv6 Neighbor Discovery (ND) router advertisements.
show ipv6 neighbors,Use the show ipv6 neighbors command in User EXEC or Privileged EXEC mode to display IPv6 neighbor discovery (ND) cache information.
show ipv6 route,Use the show ipv6 route command in user EXEC or privileged EXEC mode to display the current contents of the IPv6 routing table.
show ipv6 route summary,Use the show ipv6 route summary command in User EXEC or Privileged EXEC mode to display the current contents of the IPv6 routing table in summary format.
show ipv6 static,Use the show ipv6 static command in user EXEC or privileged EXEC mode to display the current static routes of the IPv6 routing table.
clear ipv6 prefix-list,Use the clear ipv6 prefix-list command in privileged EXEC mode to reset the hit count of the IPv6 prefix list entries.
ipv6 prefix-list,"Use the ipv6 prefix-list command in Global Configuration mode to create an entry in an IPv6 prefix list. To delete the entry, use the no form of this command."
show ipv6 prefix-list,Use the show ipv6 prefix-list command in user EXEC or privileged EXEC mode. to display information about an IPv6 prefix list or IPv6 prefix list entries.
interface tunnel,"To enter into the Interface Configuration (Tunnel) mode, use the interface tunnel command in Global Configuration mode."
tunnel destination,"To specify the destination IPv4 address for the manual tunnel interface, use the tunnel destination command in Interface (Tunnel) Configuration mode. To remove the destination IPv4 address, use the no form of this command."
tunnel isatap solicitation-interval,"To set the time interval between unsolicited router solicitation messages, use the tunnel isatap solicitation-interval command in Global Configuration mode. To restore the default configuration, use the no form of this command."
tunnel isatap robustness,"To configure the number of router solicitation refresh messages that the device sends, use the tunnel isatap robustness command in Global Configuration mode. To restore the default configuration, use the no form of this command."
show ipv6 tunnel,"To display information on IPv6 tunnels, use the show ipv6 tunnel command in User EXEC mode."
lacp port-priority,"To set the physical port priority, use the lacp port-priority Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lacp system-priority,"To set the system priority, use the lacp system-priority Global Configuration mode command. To restore the default configuration, use the no form of this command."
lacp timeout,"To assign an administrative LACP timeout to an interface, use the lacp timeout Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
show lacp,"To display LACP information for all Ethernet ports or for a specific Ethernet port, use the show lacp Privileged EXEC mode command."
show lacp port-channel,"To display LACP information for a port-channel, use the show lacp port-channel Privileged EXEC mode command."
loopback-detection enable (Global),"To enable the Loopback Detection (LBD) feature globally, use the loopback-detection enable Global Configuration mode command. To disable the Loopback Detection feature, use the no form of this command."
loopback-detection enable (Interface),"To enable the Loopback Detection (LBD) feature on an interface, use the loopback-detection enable Interface (Ethernet, Port Channel) Configuration mode command. To disable the Loopback Detection feature on the interface, use the no form of this command."
loopback-detection interval,"To set the time interval between LBD packets, use the loopback-detection interval Global Configuration mode command. To restore the default configuration, use the no form of this command."
show loopback-detection,"To display information about Loopback Detection, use the show loopback-detection Privileged EXEC mode command."
clear lldp statistics,Use the clear lldp statistics command in Privileged EXEC mode to clear LLDP statistics on device.
clear lldp table,"To clear the neighbors table for all ports or for a specific port, use the clear lldp table command in Privileged EXEC mode."
lldp chassis-id,"To configure the source of the chassis ID of the port, use the lldp chassis-id Global Configuration mode command. To restore the chassis ID source to default, use the no form of this command."
lldp hold-multiplier,"To specify how long the receiving device holds a LLDP packet before discarding it, use the lldp hold-multiplier Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp lldpdu,"To define LLDP packet handling when LLDP is globally disabled, use the lldp lldpdu Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp management-address,"To specify the management address advertised by an interface, use the lldp management-address Interface (Ethernet) Configuration mode command. To stop advertising management address information, use the no form of this command."
lldp med,"To enable or disable LLDP Media Endpoint Discovery (MED) on a port, use the lldp med Interface (Ethernet) Configuration mode command. To return to the default state, use the no form of this command."
lldp med notifications topology-change,"To enable sending LLDP MED topology change notifications on a port, use the lldp med notifications topology-change Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp med fast-start repeat-count,"When a port comes up, LLDP can send packets more quickly than usual using its fast-start mechanism. To configure the number of packets that is sent during the activation of the fast start mechanism, use the lldp med fast-start repeat-count Global Configuration mode command. To return to default, use the no form of this command."
lldp med location,"To configure the location information for the LLDP Media Endpoint Discovery (MED) for a port, use the lldp med location Interface (Ethernet) Configuration mode command. To delete location information for a port, use the no form of this command."
lldp med network-policy (global),"To define a LLDP MED network policy, use the lldp med network-policy Global Configuration mode command. The lldp med network-policy command creates the network policy, which is attached to a port by lldp med network-policy (interface). The network policy defines how LLDP packets are constructed. To remove LLDP MED network policy, use the no form of this command."
lldp med network-policy (interface),"To attach or remove an LLDP MED network policy on a port, use the lldp med network-policy Interface (Ethernet) Configuration mode command. Network policies are created in lldp med network-policy (global). To remove all the LLDP MED network policies from the port, use the no form of this command."
lldp med network-policy voice auto,"A network policy for voice LLDP packets can be created by using the lldp med network-policy (global). The lldp med network-policy voice auto Global Configuration mode is simpler in that it uses the configuration of the Voice application to create the network policy instead of the user having to manually configure it. This command generates an LLDP MED network policy for voice, if the voice VLAN operation mode is auto voice VLAN. The voice VLAN, 802.1p priority, and the DSCP of the voice VLAN are used in the policy. To disable this mode, use the no form of this command. The network policy is attached automatically to the voice VLAN."
lldp notifications,"To enable/disable sending LLDP notifications on an interface, use the lldp notifications Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp notifications interval,"To configure the maximum transmission rate of LLDP notifications, use the lldp notifications interval Global Configuration mode command. To return to the default, use the no form of this command."
lldp optional-tlv,"To specify which optional TLVs are transmitted, use the lldp optional-tlv Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp optional-tlv 802.1,"To specify whether to transmit the 802.1 TLV, use the lldp optional-tlv 802.1 Interface (Ethernet) Configuration mode command. To revert to the default setting, use the no form of this command."
lldp run,"To enable LLDP, use the lldp run Global Configuration mode command. To disable LLDP, use the no form of this command."
lldp receive,"To enable receiving LLDP on an interface, use the lldp receive Interface (Ethernet) Configuration mode command. To stop receiving LLDP on an Interface (Ethernet) Configuration mode interface, use the no form of this command."
lldp reinit,"To specify the minimum time an LLDP port waits before reinitializing LLDP transmission, use the lldp reinit Global Configuration mode command. To revert to the default setting, use the no form of this command."
lldp timer,"To specify how often the software sends LLDP updates, use the lldp timer Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp transmit,"To enable transmitting LLDP on an interface use the lldp transmit Interface (Ethernet) Configuration mode command. Use the no form of this command to stop transmitting LLDP on an interface,"
lldp tx-delay,"To set the delay between successive LLDP frame transmissions initiated by value/status changes in the LLDP local systems MIB, use the lldp tx-delay Global Configuration mode command. To restore the default configuration, use the no form of this command."
show lldp configuration,"To display the LLDP configuration for all ports or for a specific port, use the show lldp configuration Privileged EXEC mode command."
show lldp local,"To display the LLDP information that is advertised from a specific port, use the show lldp local Privileged EXEC mode command."
show lldp local tlvs-overloading,"When an LLDP packet contains too much information for one packet, this is called overloading. To display the status of TLVs overloading of the LLDP on all ports or on a specific port, use the show lldp local tlvs-overloading EXEC mode command."
show lldp med configuration,"To display the LLDP Media Endpoint Discovery (MED) configuration for all ports or for a specific port, use the show lldp med configuration Privileged EXEC mode command."
show lldp neighbors,"To display information about neighboring devices discovered using LLDP, use the show lldp neighbors Privileged EXEC mode command. The information can be displayed for all ports or for a specific port."
show lldp statistics,"To display LLDP statistics on all ports or a specific port, use the show lldp statistics EXEC mode command."
macro name,"Use the macro name Global Configuration mode command to define a macro. There are two types of macros that can be defined: Global macros define a group of CLI commands that can be run at any time. Smartport macros are associated with Smartport types. For each Smartport macro there must be an anti macro (a macro whose name is concatenated with no_). The anti macro reverses the action of the macro. If a macro with this name already exists, it overrides the previously-defined one. Use the no form of this command to delete the macro definition."
macro,Use the macro apply/trace Interface Configuration command to either: Apply a macro to an interface without displaying the actions being performed Apply a macro to the interface while displaying the actions being performed
macro description,"Use the macro description Interface Configuration mode command to append a description, for example, a macro name, to the macro history of an interface. Use the no form of this command to clear the macro history of an interface. When the macro is applied to an interface, the switch automatically generates a macro description command with the macro name. As a result, the name of the macro is appended to the macro history of the interface."
macro global,Use the macro global Global Configuration command to apply a macro to a switch (with or without the trace option).
macro global description,Use the macro global description Global Configuration command to enter a description which is used to indicate which macros have been applied to the switch. Use the no form of this command to remove the description.
show parser macro,Use the show parser macro User EXEC mode command to display the parameters for all configured macros or for one macro on the switch.
deny (Management),"To set permit rules (ACEs) for the management access list (ACL), use the deny Management Access-list Configuration mode command."
permit (Management),"To set permit rules (ACEs) for the management access list (ACL), use the permit Management Access-list Configuration mode command."
management access-list,"To configure a management access list (ACL) and enter the Management Access-list Configuration mode, use the management access-list Global Configuration mode command. To delete an ACL, use the no form of this command."
management access-class,"To restrict management connections by defining the active management access list (ACL), use the management access-class Global Configuration mode command. To disable management connection restrictions, use the no form of this command."
show management access-list,"To display management access lists (ACLs), use the show management access-list Privileged EXEC mode command."
show management access-class,"To display information about the active management access list (ACLs), use the show management access-class Privileged EXEC mode command."
clear ipv6 mld counters,"To clear the Multicast Listener Discovery (MLD) interface counters, use the clear ipv6 mld counters command in Privileged EXEC mode."
ipv6 mld last-member-query-count,"To configure the Multicast Listener Discovery (MLD) last member query counter, use the ipv6 mld last-member-query-count command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld last-member-query-interval,"To configure the Multicast Listener Discovery (MLD) last member query interval, use the ipv6 mld last-member-query-interval command in Interface Configuration mode. To restore the default MLD query interval, use the no form of this command."
ipv6 mld query-interval,"To configure the frequency at which the switch sends Multicast Listener Discovery (MLD) host-query messages, use the ipv6 mld query-interval command in Interface Configuration mode. To return to the default frequency, use the no form of this command."
ipv6 mld query-max-response-time,"To configure the maximum response time advertised in Multicast Listener Discovery (MLD) queries, use the ipv6 mld query-max-response-time command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld robustness,"To configure the Multicast Listener Discovery (MLD) robustness variable, use the ipv6 mld robustness command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld version,"To configure which version of Multicast Listener Discovery Protocol (MLD) the router uses, use the ipv6 mld version command in Interface Configuration mode. To restore the default value, use the no form of this command."
show ipv6 mld counters,"To display the Multicast Listener Discovery (MLD) traffic counters, use the show ipv6 mld counters command in User EXEC mode."
show ipv6 mld groups,"To display the multicast groups that are directly connected to the router and that were learned through Multicast Listener Discovery (MLD), use the show ipv6 mld groups command in User EXEC mode."
show ipv6 mld groups summary,"To display the number of (*, G) and (S, G) membership reports present in the Multicast Listener Discovery (MLD) cache, use the show ipv6 mld groups summary command in User EXEC mode."
show ipv6 mld interface,"To display multicast-related information about an interface, use the show ipv6 mld interface command in User EXEC mode."
ipv6 mld snooping (Global),"To enable IPv6 Multicast Listener Discovery (MLD) snooping, use the ipv6 mld snooping command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan,"To enable MLD snooping on a specific VLAN, use the ipv6 mld snooping vlan command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping querier,"To enable globally the MLD Snooping querier, use the ipv6 mld snooping querier command in Global Configuration mode. To disable the MLD Snooping querier globally, use the no form of this command."
ipv6 mld snooping vlan querier,"To enable the Internet MLD Snooping querier on a specific VLAN, use the ipv6 mld snooping vlan querier command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan querier election,"To enable MLD Querier election mechanism of an MLD Snooping querier on a specific VLAN, use the ipv6 mld snooping vlan querier election command in Global Configuration mode. To disable Querier election mechanism, use the no form of this command."
ipv6 mld snooping vlan querier version,"To configure the IGMP version of an IGMP querier on a specific VLAN, use the ipv6 mld snooping vlan querier version command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan mrouter,"To enable automatic learning of Multicast router ports, use the ipv6 mld snooping vlan mrouter command in Global Configuration mode. To remove the configuration, use the no form of this command."
ipv6 mld snooping vlan mrouter interface,"To define a port that is connected to a Multicast router port, use the ipv6 mld snooping mrouter interface command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan forbidden mrouter,"To forbid a port from being defined as a Multicast router port by static configuration or by automatic learning, use the ipv6 mld snooping vlan forbidden mrouter command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan static,"To register a IPv6-layer Multicast address to the bridge table, and to add statically ports to the group, use the ipv6 mld snooping vlan static command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 mld snooping vlan immediate-leave,"To enable MLD Snooping Immediate-Leave processing on a VLAN, use the ipv6 mld snooping vlan immediate-leave command in Global Configuration mode. To return to the default, use the no form of this command."
show ipv6 mld snooping groups,"To display the multicast groups learned by the MLD snooping, use the show ipv6 mld snooping groups EXEC mode command in User EXEC mode."
show ipv6 mld snooping interface,"To display the IPv6 MLD snooping configuration for a specific VLAN, use the show ipv6 mld snooping interface EXEC mode command in User EXEC mode."
show ipv6 mld snooping mrouter,"To display information on dynamically learned Multicast router interfaces for all VLANs or for a specific VLAN, use the show ipv6 mld snooping mrouter EXEC mode command in User EXEC mode."
snmp-server community,"To set the community access string (password) that permits access to SNMP commands (v1 and v2), use the snmp-server community Global Configuration mode command. This is used for SNMP commands, such as GETs and SETs. This command configures both SNMP v1 and v2. To remove the specified community string, use the no form of this command."
snmp-server community-group,"To configure access rights to a user group, use snmp-server community-group. The group must exist in order to be able to specify the access rights. This command configures both SNMP v1 and v2."
snmp-server server,"To enable the device to be configured by the SNMP protocol, use the snmp-server server Global Configuration mode command. To disable this function, use the no form of this command."
snmp-server source-interface,"To specify the interface from which a Simple Network Management Protocol (SNMP) trap originates the informs or traps, use the snmp-server source-interface command in Global Configuration mode. To returned to the default, use the no form of this command."
snmp-server source-interface-ipv6,"To specify the interface from which a Simple Network Management Protocol (SNMP) trap originates the informs or traps, use the snmp-server source-interface command in Global Configuration mode. To returned to the default, use the no form of this command."
snmp-server view,"To create or update an SNMP view, use the snmp-server view Global Configuration mode command. To remove an SNMP view, use the no form of this command."
snmp-server group,"To configure an SNMP group, use the snmp-server group Global Configuration mode command. Groups are used to map SNMP users to SNMP views. To remove an SNMP group, use the no form of this command."
show snmp views,"To display SNMP views, use the show snmp views Privileged EXEC mode command."
show snmp groups,"To display the configured SNMP groups, use the show snmp groups Privileged EXEC mode command."
snmp-server user,"To configure a new SNMP user, use the snmp-server user Global Configuration mode command. To remove a user, use the no form of the command. To enter the authentication and privacy passwords in encrypted form (see SSD), use the encrypted form of this command."
show snmp users,"To display the configured SNMP users, use the show snmp users Privileged EXEC mode command."
snmp-server filter,"To create or update an SNMP server notification filter, use the snmp-server filter Global Configuration mode command. To remove a notification filter, use the no form of this command."
show snmp filters,"To display the defined SNMP filters, use the show snmp filters Privileged EXEC mode command."
snmp-server host,"To configure the host for SNMP notifications: (traps/informs), use the snmp-server host Global Configuration mode command. To remove the specified host, use the no form of this command."
snmp-server engineID local,"To specify the SNMP engineID on the local device for SNMP v3, use the snmp-server engineID local Global Configuration mode command. To remove this engine ID, use the no form of this command."
snmp-server engineID remote,"To specify the SNMP engine ID of a remote SNMP device, use the snmp-server engineID remote Global Configuration mode command. To remove the configured engine ID, use the no form of this command."
show snmp engineID,"To display the local SNMP engine ID, use the show snmp engineID Privileged EXEC mode command."
snmp-server enable traps,"To enable the device to send SNMP traps, use the snmp-server enable traps Global Configuration mode command. To disable all SNMP traps, use the no form of the command."
snmp-server trap authentication,"To enable the device to send SNMP traps when authentication fails, use the snmp-server trap authentication Global Configuration mode command. To disable SNMP failed authentication traps, use the no form of this command."
snmp-server contact,"To set the value of the system contact (sysContact) string, use the snmp-server contact Global Configuration mode command. To remove the system contact information, use the no form of the command."
snmp-server location,"To set the value of the system location string, use the snmp-server location Global Configuration mode command. To remove the location string, use the no form of this command."
snmp-server set,"To define SNMP MIB commands in the configuration file if a MIB performs an action for which there is no corresponding CLI command, use the snmp-server set Global Configuration mode command."
snmp trap link-status,"To enable link-status generation of SNMP traps, use the snmp trap link-status Interface Configuration mode command. To disable generation of link-status SNMP traps, use the no form of this command."
show snmp,"To display the SNMP status, use the show snmp Privileged EXEC mode command."
test cable-diagnostics tdr,"To use Time Domain Reflectometry (TDR) technology to diagnose the quality and characteristics of a copper cable attached to a port, use the test cable-diagnostics tdr Privileged EXEC mode command."
show cable-diagnostics tdr,"To display information on the last Time Domain Reflectometry (TDR) test performed on all copper ports or on a specific copper port, use the show cable-diagnostics tdr Privileged EXEC mode command."
show cable-diagnostics cable-length,"To display the estimated copper cable length attached to all ports or to a specific port, use the show cable-diagnostics cable-length Privileged EXEC mode command."
show fiber-ports optical-transceiver,"To display the optical transceiver diagnostics, use the show fiber-ports optical-transceiver Privileged EXEC mode command."
pnp device,"To define the device username and the password, use the pnp device command in Global Configuration mode. To restore the default configuration, use the no form of this command."
pnp discovery timeout,"To define the PnP agent discovery timeout in seconds and the exponential factor, use the pnp discovery timeout command in Global Configuration mode. To restore the default configuration, use the no form of this command."
pnp enable,"To enable the PnP agent, use the pnp enable command in Global Configuration mode. To disable the PnP agent, use the no form of this command."
pnp reconnect interval,"To define the PnP agent interval between sequential PnP sessions, use the pnp reconnect interval command in Global Configuration mode. To restore the default configuration, use the no form of this command."
pnp resume,"To resume the PnP agent, use the pnp resume command in Global Configuration mode."
pnp transport,"To define the PnP transport, use the pnp transport command in Global Configuration mode. To restore the default configuration, use the no form of this command."
pnp watchdog timeout,"To define the PnP agent watchdog timeout, use the pnp watchdog timeout command in Global Configuration mode. To restore the default configuration, use the no form of this command."
show pnp,"To display the PnP agent information, use the show pnp command in Privileged EXEC mode."
power inline,"To configure the inline power administrative mode on an interface, use the power inline Interface Configuration mode command."
power inline inrush test disable,"To disable the inrush test (a hardware test that checks input surge current for PoE devices), use the power inline inrush test disable Global Configuration mode command. To enable the inrush test, use the no form of this command."
power inline legacy support disable,"To disable the legacy PDs support, use the power inline legacy support disableGlobal Configuration mode command. To enable the legacy support, use the no form of this command."
power inline powered-device,"To add a description of the device type, use the power inline powered-device Interface Configuration mode command. To remove the description, use the no form of this command."
power inline priority,"To configure the interface inline power management priority, use the power inline priority Interface Configuration (Ethernet) mode command. To restore the default configuration, use the no form of this command."
power inline usage-threshold,"To configure the threshold for initiating inline power usage alarms, use the power inline usage-threshold Global Configuration mode command. To restore the default configuration, use the no form of this command."
power inline traps enable,"To enable inline power traps, use the power inline traps enable Global Configuration mode command. To disable traps, use the no form of this command."
power inline limit,"To configure the power limit per port on an interface, use the power inline limit Interface Configuration mode command. To return to default, use the no form of the command."
power inline limit-mode,"To set the power limit mode of the system, use the power inline limit-mode Global Configuration mode command. To return to default, use the no form of this command."
power inline four-pair forced,"To configure the inline power to enabled the spare pair, use the power inline four-wire forced Interface Configuration mode command."
power inline negotiation,"The power inline negotiation Interface Configuration mode command is used to select which negotiation types are allowed on an interface. To return an interface to the default supported negotiation types, use the no form of this command."
show power inline,"To display information about the inline power for all interfaces or for a specific interface, use the show power inline privileged EXEC mode command."
show power inline savings,"To display information about the device inline power saving, use the show power inline savings privileged EXEC mode command."
clear power inline counters,"To clear power inline interface counters, use the clear power inline counters Privileged EXEC mode command."
clear power inline monitor consumption,"To clear power inline consumption monitor info on all or on a specific interface or interface list, use the clear power inline monitor consumption Privileged EXEC mode command."
show power inline monitor consumption,"To display the average monitored power consumption info, use the show power inline monitor consumption Privileged EXEC mode command"
channel-group,"To associate a port with a port-channel, use the channel-group Interface (Ethernet) Configuration mode command. To remove a port from a port-channel, use the no form of this command."
port-channel load-balance,"To configure the load balancing policy of the port channeling, use the port-channel load-balance Global Configuration mode command. To reset to default, use the no form of this command."
show interfaces port-channel,"To display port-channel information for all port channels or for a specific port channel, use the show interfaces port-channel Privileged EXEC mode command."
qos,Use the qos Global Configuration mode command to enable QoS on the device and set its mode. Use the no form of this command to disable QoS on the device.
