command,syntax
dot1x max-hosts,"['dot1x max-hosts count', 'no dot1x max-hosts']"
dot1x max-login-attempts,"['dot1x max-login-attempts count', 'no dot1x max-login-attempts']"
dot1x max-req,"['dot1x max-req count', 'no dot1x max-req']"
dot1x page customization,['dot1x page customization']
dot1x port-control,"['dot1x port-control {auto | force-authorized | force-unauthorized} [time-range time-range-name]', 'no dot1x port-control']"
dot1x radius-attributes vlan,"['dot1x radius-attributes vlan [reject | static]', 'no dot1x radius-attributes vlan']"
dot1x re-authenticate,['dot1x re-authenticate [interface-id]']
dot1x reauthentication,"['dot1x reauthentication', 'no dot1x reauthentication']"
dot1x supplicant,"['dot1x supplicant name', 'no dot1x supplicant']"
dot1x supplicant traps authentication failure,"['dot1x supplicant traps authentication failure', 'no dot1x supplicant traps authentication failure']"
dot1x supplicant traps authentication success,"['dot1x supplicant traps authentication success', 'no dot1x supplicant traps authentication success']"
dot1x system-auth-control,"['dot1x system-auth-control', 'no dot1x system-auth-control']"
dot1x timeout eap-timeout,"['dot1x timeout eap-timeout seconds', 'no dot1x timeout eap-timeout']"
dot1x timeout quiet-period,"['dot1x timeout quiet-period seconds', 'no dot1x timeout quiet-period']"
dot1x timeout reauth-period,"['dot1x timeout reauth-period seconds', 'no dot1x timeout reauth-period']"
dot1x timeout server-timeout,"['dot1x timeout server-timeout seconds', 'no dot1x timeout server-timeout']"
dot1x timeout silence-period,"['dot1x timeout silence-period seconds', 'no dot1x timeout silence-period']"
dot1x timeout supp-timeout,"['dot1x timeout supp-timeout seconds', 'no dot1x timeout supp-timeout']"
dot1x timeout supplicant-held-period,"['dot1x timeout supplicant-held-period seconds', 'no dot1x timeout supplicant-held-period']"
dot1x timeout tx-period,"['dot1x timeout tx-period seconds', 'no dot1x timeout tx-period']"
dot1x traps authentication failure,"['dot1x traps authentication failure {[802.1x] [mac] [web]}', 'no dot1x traps authentication failure']"
dot1x traps authentication quiet,"['dot1x traps authentication quiet', 'no dot1x traps authentication quiet']"
dot1x traps authentication success,"['dot1x traps authentication success {[802.1x] [mac] [web]}', 'no dot1x traps authentication success']"
dot1x unlock client,['dot1x unlock client interface-id mac-address']
dot1x violation-mode,"['dot1x violation-mode {restrict | protect | shutdown} [traps seconds]', 'no dot1x violation-mode']"
password,"['encrypted password encrypted-password', 'password password', 'no password']"
show dot1x,['show dot1x [interface interface-id | detailed]']
show dot1x credentials,['show dot1x credentials']
show dot1x locked clients,['show dot1x locked clients']
show dot1x statistics,['show dot1x statistics interface interface-id']
show dot1x users,['show dot1x users [username username]']
username (dot1x credentials),"['username username', 'no username']"
ip access-list (IP extended),"['ip access-list extended acl-name', 'no ip access-list extended acl-name']"
permit ( IP ),"['permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'no permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'no permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [time-range time-range-name] [log-input]']"
deny ( IP ),"['deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [disable-port|log-input ]', 'deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][match-all list-of-flags][time-range time-range-name] [disable-port |log-input ]', 'deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][match-all list-of-flags] [time-range time-range-name] [disable-port |log-input ]', 'no deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]']"
ipv6 access-list (IPv6 extended),"['ipv6 access-list [acl-name]', 'no ipv6 access-list [acl-name]']"
permit ( IPv6 ),"['permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number][time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit tcp {any | {source-prefix/length} {any | source-port}{any | destination- prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'no permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]']"
deny ( IPv6 ),"['deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]']"
mac access-list,"['mac access-list extended acl-name', 'no mac access-list extended acl-name']"
permit ( MAC ),"['permit {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', '[log-input]', 'no permit {any | source source-wildcard} {any | destination destination-wildcard} [eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', '[log-input]']"
deny (MAC),"['deny {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'no deny {any | source source-wildcard} {any | destination destination-wildcard} [{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'Parameters', 'source—Source MAC address of the packet.', 'source-wildcard—Wildcard bits to be applied to the source MAC address. Use ones in the bit position that you want to be ignored.', 'destination—Destination MAC address of the packet.', 'destination-wildcard—Wildcard bits to be applied to the destination MAC address. Use 1s in the bit position that you want to be ignored.', 'priority - Specify the priority of the access control entry (ACE) in the access control list (ACL). ""1"" value represents the highest priority and ""2147483647"" number represents the lowest priority.(Range: 1-2147483647)', 'eth-type—The Ethernet type in hexadecimal format of the packet.', 'vlan-id—The VLAN ID of the packet. (Range: 1–4094).', 'cos—The Class of Service of the packet.(Range: 0–7).', 'cos-wildcard—Wildcard bits to be applied to the CoS.', 'time-range-name—Name of the time range that applies to this permit statement. (Range: 1–32)', 'disable-port—The Ethernet interface is disabled if the condition is matched.', 'log-input—Specifies sending an informational syslog message about the packet that matches the entry. Because forwarding/dropping is done in hardware and logging is done in software, if a large number of packets match an ACE containing a log-input keyword, the software might not be able to match the hardware processing rate, and not all packets will be logged.']"
service-acl input,"['sevice-acl input acl-name1 [acl-name2] [default-action {deny-any | permit-any}]', 'no service-acl input']"
service-acl output,"['service-acl output acl-name1 [acl-name2] [default-action {deny-any | permit-any}]', 'no service-acl output']"
time-range,"['time-range time-range-name', 'no time-range time-range-name']"
absolute,"['absolute start hh:mm day month year', 'no absolute start', 'absolute end hh:mm day month year', 'no absolute end']"
periodic,"['periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'no periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'no periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'periodic list hh:mm to hh:mm all', 'no periodic list hh:mm to hh:mm all']"
show time-range,['show time-range time-range-name']
show access-lists,"['show access-lists [name]', 'show access-liststime-range-active [name]']"
clear access-lists counters,['clear access-lists counters [interface-id]']
show interfaces access-lists trapped packets,['show interfaces access-lists trapped packets [interface-id | port-channel-number | VLAN]']
ip access-list (IP standard),"['ip access-list access-list-name {deny|permit} {src-addr[/src-len] | any}', 'no ip access-list access-list-name']"
ipv6 access-list (IP standard),"['ipv6 access-list access-list-name {deny|permit} {src-addr[/src-len] | any}', 'no ipv6 access-list access-list-name']"
bridge multicast filtering,"['bridge multicast filtering', 'no bridge multicast filtering']"
bridge multicast mode,"['bridge multicast mode {mac-group | ipv4-group | ipv4-src-group}', 'no bridge multicast mode']"
bridge multicast address,"['bridge multicast address {mac-multicast-address | ipv4-multicast-address} [{add | remove} {ethernet interface-list | port-channel port-channel-list}]', 'no bridge multicast address mac-multicast-address']"
bridge multicast forbidden address,"['bridge multicast forbidden address {mac-multicast-address | ipv4-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forbidden address mac-multicast-address']"
bridge multicast ip-address,"['bridge multicast ip-address ip-multicast-address [add | remove] {interface-list | port-channel port-channel-list}]', 'no bridge multicast ip-address ip-multicast-address']"
bridge multicast forbidden ip-address,"['bridge multicast forbidden ip-address {ip-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forbidden ip-address ip-multicast-address']"
bridge multicast source group,"['bridge multicast source ip-address group ip-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'no bridge multicast source ip-address group ip-multicast-address']"
bridge multicast forbidden source group,"['bridge multicast forbidden source ip-address group ip-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forbidden source ip-address group ip-multicast-address']"
bridge multicast ipv6 mode,"['bridge multicast ipv6 mode {mac-group | ip-group | ip-src-group}', 'no bridge multicast ipv6 mode']"
bridge multicast ipv6 ip-address,"['bridge multicast ipv6 ip-address ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'no bridge multicast ipv6 ip-address ip-multicast-address']"
bridge multicast ipv6 forbidden ip-address,"['bridge multicast ipv6 forbidden ip-address {ipv6-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast ipv6 forbidden ip-address ipv6-multicast-address']"
bridge multicast ipv6 source group,"['bridge multicast ipv6 source ipv6-source-address group ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'no bridge multicast ipv6 source ipv6-address group ipv6-multicast-address']"
bridge multicast ipv6 forbidden source group,"['bridge multicast ipv6 forbidden source ipv6-source-address group ipv6-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast ipv6 forbidden source ipv6-address group ipv6-multicast-address']"
bridge multicast unregistered,"['bridge multicast unregistered {forwarding | filtering}', 'no bridge multicast unregistered']"
bridge multicast forward-all,"['bridge multicast forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forward-all']"
bridge multicast forbidden forward-all,"['bridge multicast forbidden forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forbidden forward-all']"
bridge unicast unknown,"['bridge unicast unknown {filtering | forwarding}', 'no bridge unicast unknown']"
show bridge unicast unknown,['show bridge unicast unknown [interface-id]']
mac address-table static,"['mac address-table static mac-address vlan vlan-id interface interface-id [permanent | delete-on-reset | delete-on-timeout | secure]|', 'no mac address-table static [mac-address] vlan vlan-id']"
clear mac address-table,"['clear mac address-table dynamic interface interface-id', 'clear mac address-table secure interface interface-id']"
mac address-table aging-time,"['mac address-table aging-time seconds', 'no mac address-table aging-time']"
port security,"['port security [forward | discard | discard-shutdown] [trap seconds]', 'no port security']"
port security mode,"['port security mode {max-addresses | lock | secure permanent | secure delete-on-reset}', 'no port security mode']"
port security max,"['port security max max-addr', 'no port security max']"
port security routed secure-address,"['port security routed secure-address mac-address', 'no port security routed secure-address mac-address']"
show mac address-table,['show mac address-table [dynamic | static | secure] [vlan vlan] [interface interface-id] [address mac-address]']
show mac address-table count,['show mac address-table count [vlan vlan | interface interface-id]']
show bridge multicast mode,['show bridge multicast mode [vlan vlan-id]']
show bridge multicast address-table,"['show bridge multicast address-table [vlan vlan-id]', 'show bridge multicast address-table [vlan vlan-id] [address mac-multicast-address] [format {ip | mac}]', 'show bridge multicast address-table [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]', 'show bridge multicast address-table [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]']"
show bridge multicast address-table static,"['show bridge multicast address-table static [vlan vlan-id] [all]', 'show bridge multicast address-table static [vlan vlan-id] [address mac-multicast-address] [mac| ip]', 'show bridge multicast address-table static [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]', 'show bridge multicast address-table static [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]']"
show bridge multicast filtering,['show bridge multicast filtering vlan-id']
bridge multicast unregistered,"['bridge multicast unregistered {forwarding | filtering}', 'no bridge multicast unregistered']"
show ports security,['show ports security [interface-id | detailed]']
show ports security addresses,['show ports security addresses [interface-id | detailed]']
bridge multicast reserved-address,"['bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid] {discard | bridge}', 'no bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid]']"
show bridge multicast reserved-addresses,['show bridge multicast reserved-addresses']
aaa authentication login,"['aaa authentication login [authorization] {default | list-name} method1 [method2.]', 'no aaa authentication login {default | list-name}']"
aaa authentication enable,"['aaa authentication enable [authorization] {default | list-name} method [method2.]}', 'no aaa authentication enable {default | list-name}']"
login authentication,"['login authentication {default | list-name}', 'no login authentication']"
enable authentication,"['enable authentication {default | list-name}', 'no enable authentication']"
ip http authentication,"['ip http authentication aaa login-authentication [login-authorization] method1 [method2.]', 'no ip http authentication aaa login-authentication']"
show authentication methods,['show authentication methods']
Login Block-for,"['login block-for seconds attempts tries within seconds', 'no login block-for']"
Login Block-for,"['login block-for seconds attempts tries within seconds', 'no login block-for']"
login delay,"['login delay seconds', 'no login delay']"
login quiet-mode access-class,"['login quiet-mode access-class name', 'no login quiet-mode access-class']"
show login,['show login']
show login failures,['Show login failures']
password,"['password {unencrypted-password [method hash-method] | encrypted-password encrypted}', 'password generate-password [method hash-method]', 'no password']"
enable password,"['enable password [level privilege-level] {[method hash-method] unencrypted-password | encrypted encrypted-password}', 'no enable password [level privilege-level]']"
service password-recovery,"['service password-recovery', 'no service password-recovery']"
username,"['username name {[method hash-method] password {unencrypted-password | {encrypted encrypted-password} | {privilege privilege-level {[method hash-method] unencrypted-password | {encrypted encrypted-password}', 'username name {[method hash-method] generate-password | {privilege privilege-level{[method hash-method] generate-password}', 'no username name']"
show users accounts,['show users accounts']
aaa accounting login start-stop,"['aaa accounting login start-stop group {radius | tacacs+}', 'no aaa accounting login start-stop']"
aaa accounting dot1x,"['aaa accounting dot1x start-stop group radius', 'no aaa accounting dot1x start-stop group radius']"
show accounting,['show accounting']
passwords complexity,"['passwords complexity {min-length number} | {min-classes number} | {no-repeat number} | not-current | not-username | not-manufacturer-name', 'no passwords complexity min-length | min-classes | no-repeat | not-current | not-username | not-manufacturer-name']"
passwords aging,"['passwords aging days', 'no passwords aging']"
password complexity history,"['passwords complexity history number', 'no passwords complexity history']"
aaa login-history file,"['aaa login-history file', 'no aaa login-history file']"
show passwords configuration,['show passwords configuration']
show users login-history,['show users login-history [username name]']
boot host auto-config,"['boot host auto-config [tftp | scp | auto [extension]', 'no boot host auto-config']"
boot host auto-update,"['boot host auto-update [tftp | scp | auto [extension]', 'no boot host auto-update']"
show boot,['show boot']
ip dhcp tftp-server ip address,"['ip dhcp tftp-server ip address ip-addr', 'no ip dhcp tftp-server ip address']"
ip dhcp tftp-server file,"['ip dhcp tftp-server file file-path', 'no ip dhcp tftp-server file']"
ip dhcp tftp-server image file,"['ip dhcp tftp-server image file file-path', 'no ip dhcp tftp-server image file']"
show ip dhcp tftp-server,['show ip dhcp tftp-server']
bonjour enable,"['bonjour enable', 'no bonjour enable.']"
bonjour interface range,"['bonjour interface range interface-list', 'no bonjour interface range [interface-list]']"
show bonjour,['show bonjour [interface-id]']
ca-certificate install,"['ca-certificate install name name [owner owner]', 'no ca-certificate install {name name | owner owner}']"
ca-certificate revoke,"['ca-certificate revoke issuer issuer serial-number serial-number', 'no ca-certificate revoke issuer issuer serial-number serial-number']"
show ca-certificate,['show ca-certificate [name name][type type][owner owner-name][detailed]']
show ca-certificate revocation,['show ca-certificate revocation']
cdp advertise-v2,"['cdp advertise-v2', 'no cdp advertise-v2']"
cdp appliance-tlv enable,"['cdp appliance-tlv enable', 'no cdp appliance-tlv enable']"
cdp device-id format,"['cdp device-id format {mac | serial-number | hostname}', 'no cdp device-id format']"
cdp enable,['cdp enable']
cdp holdtime,"['cdp holdtime seconds', 'no cdp holdtime']"
cdp log mismatch duplex,"['cdp log mismatch duplex', 'no cdp log mismatch duplex']"
cdp log mismatch native,"['cdp log mismatch native', 'no cdp log mismatch native']"
cdp log mismatch voip,"['cdp log mismatch voip', 'no cdp log mismatch voip']"
cdp mandatory-tlvs validation,"['cdp mandatory-tlvs validation', 'no cdp mandatory-tlvs validation']"
cdp pdu,"['cdp pdu [filtering | bridging | flooding]', 'no cdp pdu']"
cdp run,"['cdp run', 'no cdp run']"
cdp source-interface,"['cdp source-interface interface-id', 'no cdp source-interface']"
cdp timer,"['cdp timer seconds', 'no cdp timer']"
clear cdp counters,['clear cdp counters [global | interface-id]']
clear cdp table,['clear cdp table']
show cdp,['show cdp']
show cdp entry,['show cdp entry {* | device-name} [protocol | version]']
show cdp interface,['show cdp interface interface-id']
show cdp neighbors,['show cdp neighbors [interface-id] [detail | secondary]']
show cdp tlv,['show cdp tlv [interface-id]']
show cdp traffic,['show cdp traffic [global | interface-id]']
absolute,"['absolute start hh:mm day month year', 'no absolute start', 'absolute end hh:mm day month year', 'no absolute end']"
clock dhcp timezone,"['clock dhcp timezone', 'no clock dhcp timezone']"
clock set,['clock set hh:mm:ss {[day month] | [month day]} year']
clock source,"['clock source {sntp | browser}', 'no clock source {sntp | browser}']"
clock summer-time,"['clock summer-time zone recurring {usa | eu | {week day month hh:mm week day month hh:mm} [offset]', 'clock summer-time zone date day month year hh:mm date month year hh:mm [offset]', 'clock summer-time zone date month day year hh:mm month day year hh:mm [offset]', 'no clock summer-time']"
clock timezone,"['clock timezone zone hours-offset [minutes-offset]', 'no clock timezone']"
periodic,"['periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'no periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'no periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'periodic list hh:mm to hh:mm all', 'no periodic list hh:mm to hh:mm all']"
sntp anycast client enable,['sntp anycast client enable [both | ipv4 | ipv6]']
sntp authenticate,"['sntp authenticate', 'no sntp authenticate']"
sntp authentication-key,"['sntp authentication-key key-number md5 key-value', 'encrypted sntp authentication-key key-number md5 encrypted-key-value', 'no sntp authentication-key key-number']"
sntp broadcast client enable,"['sntp broadcast client enable [both | ipv4 | ipv6]', 'no sntp broadcast client enable']"
sntp client enable,"['sntp client enable interface-id', 'no sntp client enable interface-id']"
sntp client enable (interface),"['sntp client enable', 'no sntp client enable']"
sntp server,"['sntp server {default | {ip-address | hostname} [poll] [key keyid]}', 'no sntp server [ip-address | hostname]']"
sntp source-interface,"['sntp source-interface interface-id', 'no sntp source-interface']"
sntp source-interface-ipv6,"['sntp source-interface-ipv6 interface-id', 'no sntp source-interface-ipv6']"
sntp trusted-key,"['sntp trusted-key key-number', 'no sntp trusted-key key-number']"
sntp unicast client enable,"['sntp unicast client enable', 'no sntp unicast client enable']"
sntp unicast client poll,"['sntp unicast client poll', 'no sntp unicast client poll']"
show clock,['show clock [detail]']
show sntp configuration,['show sntp configuration']
show sntp status,['show sntp status']
show time-range,['show time-range time-range-name']
time-range,"['time-range time-range-name', 'no time-range time-range-name']"
security-suite deny fragmented,"['security-suite deny fragmented {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}', 'no security-suite deny fragmented']"
security-suite deny icmp,"['security-suite deny icmp {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}', 'no security-suite deny icmp']"
security-suite deny martian-addresses,"['security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length} (Add/remove user-specified IP addresses)', 'security-suite deny martian-addresses reserved {add | remove} (Add/remove system-reserved IP addresses, see tables below)', 'no security-suite deny martian-addresses (This command removes addresses reserved by security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length}, and removes all entries added by the user. The user can remove a specific entry by using remove ip-address {mask | /prefix-length} parameter.', 'There is no no form of the security-suite deny martian-addresses reserved {add | remove} command. Use instead the security-suite deny martian-addresses reserved remove command to remove protection (and free up hardware resources).']"
security-suite deny syn,"['security-suite deny syn {[add {tcp-port | any} {ip-address | any} {mask | /prefix-length}] | [remove {tcp-port | any} {ip-address | any} {mask | /prefix-length}]}', 'no security-suite deny syn']"
security-suite deny syn-fin,"['security-suite deny syn-fin', 'no security-suite deny syn-fin']"
security-suite dos protect,"['security-suite dos protect {add attack | remove attack}', 'no security-suite dos protect']"
security-suite dos syn-attack,"['security-suite dos syn-attack syn-rate {any | ip-address} {mask | prefix-length}', 'no security-suite dos syn-attack {any | ip-address} {mask | prefix-length}']"
security-suite enable,"['security-suite enable [global-rules-only | interface-rules-only]', 'no security-suite enable']"
security-suite syn protection mode,"['security-suite syn protection mode {disabled | report | block}', 'no security-suite syn protection mode']"
security-suite syn protection recovery,"['security-suite syn protection recovery timeout', 'no security-suite syn protection recovery']"
security-suite syn protection threshold,"['security-suite syn protection threshold syn-packet-rate', 'no security-suite syn protection threshold']"
show security-suite configuration,['show security-suite configuration']
show security-suite syn protection,['show security-suite syn protection [interface-id]']
ip dhcp relay enable (Global),"['ip dhcp relay enable', 'no ip dhcp relay enable']"
ip dhcp relay enable (Interface),"['ip dhcp relay enable', 'no ip dhcp relay enable']"
ip dhcp relay address (Global),"['ip dhcp relay address ip-address', 'no ip dhcp relay address [ip-address]']"
show ip dhcp relay,['show ip dhcp relay']
ip dhcp information option,"['ip dhcp information option', 'no ip dhcp information option']"
ip dhcp information option numeric-token-format,"['ip dhcp information option numeric-token-format {hex|ascii}', 'no ip dhcp information option numeric-token-format']"
ip dhcp information option circuit-id,"['ip dhcp information option circuit-id text', 'no ip dhcp information option circuit-id']"
ip dhcp information option remote-id,"['ip dhcp information option remote-id text', 'no ip dhcp information option remote-id']"
show ip dhcp information option tokens,['show ip dhcp information option tokens [brief]']
show ip dhcp information option,['show ip dhcp information option [{interface interface-id} {vlan vlan}]']
clear ipv6 dhcp client,['clear ipv6 dhcp client interface-id']
ipv6 address dhcp,"['ipv6 address dhcp [rapid-commit]', 'no ipv6 address dhcp']"
ipv6 dhcp client information refresh,"['ipv6 dhcp client information refresh seconds | infinite', 'no ipv6 dhcp client information refresh']"
ipv6 dhcp client information refresh minimum,"['ipv6 dhcp client information refresh minimum seconds | infinite', 'no ipv6 dhcp client information refresh minimum']"
ipv6 dhcp duid-en,"['ipv6 dhcp duid-en enterprise-number identifier', 'no ipv6 dhcp duid-en']"
ipv6 dhcp relay destination (Global),"['ipv6 dhcp relay destination {ipv6-address [interface-id]} | interface-id', 'no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]']"
