command,syntax_products
ip dhcp server,"[('ip dhcp server', 'cbs_350, cat_1300'), ('no ip dhcp server', 'cbs_350, cat_1300')]"
ip dhcp snooping,"[('ip dhcp snooping', 'cbs_220, cbs_350, cat_1300'), ('no ip dhcp snooping', 'cbs_220, cbs_350, cat_1300')]"
ip dhcp snooping binding,"[('ip dhcp snooping binding mac-address vlan-id ip-address interface-id expiry {seconds | infinite}', 'cbs_350, cat_1300'), ('no ip dhcp snooping binding mac-address vlan-id', 'cbs_350, cat_1300')]"
ip dhcp snooping database,"[('ip dhcp snooping database {flash | tftp {IPv4-ADDR NAME | HOSTNAME NAME} | timeout VALUE | write-delay VALUE }', 'cbs_220'), ('no ip dhcp snooping database [timeout | write-delay]', 'cbs_220'), ('ip dhcp snooping database', 'cbs_350, cat_1300'), ('no ip dhcp snooping database', 'cbs_350, cat_1300')]"
ip dhcp snooping information option,"[('ip dhcp snooping information option [format remote-id STRING]', 'cbs_220'), ('no ip dhcp snooping information option [format remote-id]', 'cbs_220')]"
ip dhcp snooping information option allow-untrusted,"[('ip dhcp snooping information option allow-untrusted [replace]', 'cbs_220'), ('no ip dhcp snooping information option allow-untrusted', 'cbs_220')]"
ip dhcp snooping information option allowed-untrusted,"[('ip dhcp snooping information option allowed-untrusted', 'cbs_350, cat_1300'), ('no ip dhcp snooping information option allowed-untrusted', 'cbs_350, cat_1300')]"
ip dhcp snooping limit rate,"[('ip dhcp snooping limit rate VALUE', 'cbs_220'), ('no ip dhcp snooping limit rate', 'cbs_220')]"
ip dhcp snooping trust,"[('ip dhcp snooping trust', 'cbs_220, cbs_350, cat_1300'), ('no ip dhcp snooping trust', 'cbs_220, cbs_350, cat_1300')]"
ip dhcp snooping verify,"[('ip dhcp snooping verify', 'cbs_350, cat_1300'), ('no ip dhcp snooping verify', 'cbs_350, cat_1300')]"
ip dhcp snooping verify mac-address,"[('ip dhcp snooping verify mac-address', 'cbs_220'), ('no ip dhcp snooping verify mac-address', 'cbs_220')]"
ip dhcp snooping vlan,"[('ip dhcp snooping vlan VLAN-LIST', 'cbs_220'), ('no ip dhcp snooping vlan VLAN-LIST', 'cbs_220'), ('ip dhcp snooping vlan vlan-id', 'cbs_350, cat_1300'), ('no ip dhcp snooping vlan vlan-id', 'cbs_350, cat_1300')]"
ip dhcp snooping vlan information option circuit-id,"[('ip dhcp snooping vlan VLAN-LIST information option circuit-id STRING', 'cbs_220'), ('no ip dhcp snooping vlan VLAN-LIST information option circuit-id', 'cbs_220')]"
ip dhcp tftp-server file,"[('ip dhcp tftp-server file WORD<1-128>', 'cbs_220'), ('no ip dhcp tftp-server file', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('ip dhcp tftp-server file file-path', 'cbs_250, cbs_350, cat_1300')]"
ip dhcp tftp-server image file,"[('ip dhcp tftp-server image file file-path', 'cbs_250, cbs_350, cat_1300'), ('no ip dhcp tftp-server image file', 'cbs_250, cbs_350, cat_1300')]"
ip dhcp tftp-server ip address,"[('ip dhcp tftp-server ip address {ipv4-address | hostname | ipv6-address}', 'cbs_220'), ('no dhcp tftp-server ip address', 'cbs_220'), ('ip dhcp tftp-server ip address ip-addr', 'cbs_250, cbs_350, cat_1300'), ('no ip dhcp tftp-server ip address', 'cbs_250, cbs_350, cat_1300')]"
ip domain lookup,"[('ip domain lookup', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip domain lookup', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
ip domain name,"[('ip domain name hostname', 'cbs_220'), ('no ip domain name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('ip domain name name', 'cbs_250, cbs_350, cat_1300')]"
ip domain polling-interval,"[('ip domain polling-interval seconds', 'cbs_250, cbs_350, cat_1300'), ('no ip domain polling-interval', 'cbs_250, cbs_350, cat_1300')]"
ip domain retry,"[('ip domain retry number', 'cbs_250, cbs_350, cat_1300'), ('no ip domain retry', 'cbs_250, cbs_350, cat_1300')]"
ip domain timeout,"[('ip domain timeout seconds', 'cbs_250, cbs_350, cat_1300'), ('no ip domain timeout', 'cbs_250, cbs_350, cat_1300')]"
ip helper-address,"[('ip helper-address {ip-interface | all} address [udp-port-list]', 'cbs_250, cbs_350, cat_1300'), ('no ip helper-address {ip-interface | all} address', 'cbs_250, cbs_350, cat_1300')]"
ip host,"[('ip host hostname address1 [address2.address8]', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip host hostname address1 [address2.address8]', 'cbs_220'), ('Parameters', 'cbs_220'), ('hostname—Name of the host. (Length: 1 to 158 characters. Maximum label length of each domain level is 63 characters.)', 'cbs_220'), ('address1—Associated host IP address (IPv4 or IPv6, if IPv6 stack is supported).', 'cbs_220'), ('address2.address8—(Optional) Up to seven additional associated IP addresses, delimited by a single space (IPv4 or IPv6, if IPv6 stack is supported).', 'cbs_220'), ('no ip host name ip host name [address1.address8]', 'cbs_250, cbs_350'), ('no ip host hostname [address1.address8]', 'cat_1300')]"
ip http authentication,"[('ip http authentication aaa login-authentication [http | https] {default | LISTNAME}', 'cbs_220'), ('no ip http authentication aaa login-authentication [http | https]', 'cbs_220'), ('ip http authentication aaa login-authentication [login-authorization] method1 [method2.]', 'cbs_250, cbs_350, cat_1300'), ('no ip http authentication aaa login-authentication', 'cbs_250, cbs_350, cat_1300')]"
ip http port,"[('ip http port port-number', 'cbs_250, cbs_350, cat_1300'), ('no ip http port', 'cbs_250, cbs_350, cat_1300')]"
ip http secure-server,"[('ip http secure-server', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip http secure-server', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
ip http server,"[('ip http server', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip http server', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
ip http timeout-policy,"[('ip http timeout-policy minutes [http-only | https-only]', 'cbs_220'), ('no ip http timeout-policy [http-only | https-only]', 'cbs_220'), ('ip http timeout-policy idle-seconds [{http-only | https-only}]', 'cbs_250, cbs_350, cat_1300'), ('no ip http timeout-policy', 'cbs_250, cbs_350, cat_1300')]"
ip https certificate,"[('ip https certificate number', 'cbs_250, cbs_350, cat_1300'), ('no ip https certificate', 'cbs_250, cbs_350, cat_1300')]"
ip https logging,"[('ip https logging {enable| disable}', 'cbs_250, cbs_350, cat_1300'), ('no ip https logging', 'cbs_250, cbs_350, cat_1300')]"
ip igmp filter,"[('ip igmp filter profile-number', 'cbs_220'), ('no ip igmp filter', 'cbs_220')]"
ip igmp last-member-query-count,"[('ip igmp last-member-query-count count', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp last-member-query-count', 'cbs_250, cbs_350, cat_1300')]"
ip igmp last-member-query-interval,"[('ip igmp last-member-query-interval milliseconds', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp last-member-query-interval', 'cbs_250, cbs_350, cat_1300')]"
ip igmp max-groups,"[('ip igmp max-groups number', 'cbs_220'), ('no ip igmp max-groups', 'cbs_220'), ('ip igmp max-groups action {deny | replace}', 'cbs_220')]"
ip igmp profile,"[('ip igmp profile profile-number', 'cbs_220'), ('no ip igmp profile profile-number', 'cbs_220')]"
ip igmp query-interval,"[('ip igmp query-interval seconds', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp query-interval', 'cbs_250, cbs_350, cat_1300')]"
ip igmp query-max-response-time,"[('ip igmp query-max-response-time seconds', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp query-max-response-time', 'cbs_250, cbs_350, cat_1300')]"
ip igmp robustness,"[('ip igmp robustness count', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp robustness', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping,"[('ip igmp snooping', 'cbs_220'), ('no ip igmp snooping', 'cbs_220')]"
ip igmp snooping (Global),"[('ip igmp snooping', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping map cpe vlan,"[('ip igmp snooping map cpe vlan cpe-vlan-id multicast-tv vlan vlan-id', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no ip igmp snooping map cpe vlan vlan-id', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
ip igmp snooping querier,"[('ip igmp snooping querier', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping querier', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping report-suppression,"[('ip igmp snooping report-suppression', 'cbs_220'), ('no ip igmp snooping report-suppression', 'cbs_220')]"
ip igmp snooping unknown-multicast action,"[('ip igmp snooping unknown-multicast action {drop | flood | router-port}', 'cbs_220'), ('no ip igmp snooping unknown-multicast action', 'cbs_220')]"
ip igmp snooping vlan,"[('ip igmp snooping vlan VLAN-LIST', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST', 'cbs_220'), ('ip igmp snooping vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan forbidden forward-all,"[('ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'cbs_220')]"
ip igmp snooping vlan forbidden mrouter,"[('ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'cbs_220'), ('ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan forward-all,"[('ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id', 'cbs_220')]"
ip igmp snooping vlan immediate-leave,"[('ip igmp snooping vlan VLAN-LIST immediate-leave', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST immediate-leave', 'cbs_220'), ('ip igmp snooping vlan vlan-id immediate-leave', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id immediate-leave', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan last-member-query-count,"[('ip igmp snooping vlan VLAN-LIST last-member-query-count count', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST last-member-query-count', 'cbs_220')]"
ip igmp snooping vlan last-member-query-interval,"[('ip igmp snooping vlan VLAN-LIST last-member-query-interval seconds', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST last-member-query-interval', 'cbs_220')]"
ip igmp snooping vlan mrouter,"[('ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'cbs_220'), ('ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id', 'cbs_220'), ('ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan mrouter interface,"[('ip igmp snooping vlan vlan-id mrouter interface interface-list', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id mrouter interface interface-list', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan multicast-tv,"[('ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan querier,"[('ip igmp snooping vlan VLAN-LIST querier', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST querier', 'cbs_220'), ('ip igmp snooping vlan vlan-id querier', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id querier', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan querier address,"[('ip igmp snooping vlan vlan-id querier address ip-address', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id querier address', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan querier election,"[('ip igmp snooping vlan vlan-id querier election', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id querier election', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan querier version,"[('ip igmp snooping vlan VLAN-LIST querier version {2 | 3}', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST querier version', 'cbs_220'), ('ip igmp snooping vlan vlan-id querier version {2 | 3}', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id querier version', 'cbs_250, cbs_350, cat_1300')]"
ip igmp snooping vlan query-interval,"[('ip igmp snooping vlan VLAN-LIST query-interval seconds', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST query-interval', 'cbs_220')]"
ip igmp snooping vlan response-time,"[('ip igmp snooping vlan VLAN-LIST response-time seconds', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST response-time', 'cbs_220')]"
ip igmp snooping vlan robustness-variable,"[('ip igmp snooping vlan VLAN-LIST robustness-variable count', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST robustness-variable', 'cbs_220')]"
ip igmp snooping vlan static,"[('ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id', 'cbs_220'), ('no ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id', 'cbs_220'), ('ip igmp snooping vlan vlan-id static ip-address [interface interface-list]', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp snooping vlan vlan-id static ip-address [interface interface-list]', 'cbs_250, cbs_350, cat_1300')]"
ip igmp version,"[('ip igmp version {1 | 2 | 3}', 'cbs_250, cbs_350, cat_1300'), ('no ip igmp version', 'cbs_250, cbs_350, cat_1300')]"
ip igmp-proxy,"[('ip igmp-proxy upstream-interface-id', 'cbs_350, cat_1300'), ('no ip igmp-proxy', 'cbs_350, cat_1300')]"
ip igmp-proxy downstream protected,"[('ip igmp-proxy downstream protected', 'cbs_350, cat_1300'), ('no ip igmp-proxy downstream protected', 'cbs_350, cat_1300')]"
ip igmp-proxy downstream protected interface,"[('ip igmp-proxy downstream protected interface {enabled | disabled}', 'cbs_350, cat_1300'), ('no ip igmp-proxy downstream protected interface', 'cbs_350, cat_1300')]"
ip igmp-proxy ssm,"[('ip igmp-proxy ssm {default | range access-list}', 'cbs_350, cat_1300'), ('no ip igmp-proxy ssm', 'cbs_350, cat_1300')]"
ip mac,"[('ip ip-address mac mac-address', 'cbs_350, cat_1300'), ('no ip ip-address mac mac-address', 'cbs_350, cat_1300')]"
ip multicast ttl-threshold,"[('ip multicast ttl-threshold ttl-value', 'cbs_350, cat_1300'), ('no ip multicast ttl-threshold', 'cbs_350, cat_1300')]"
ip multicast-routing,"[('ip multicast-routing igmp-proxy', 'cbs_350, cat_1300'), ('no ip multicast-routing', 'cbs_350, cat_1300')]"
ip name-server,"[('ip name-server server-address1 [server-address2.server-address8]', 'cbs_220'), ('no ip name-server', 'cbs_220'), ('ip name-server server1-address [server-address2.erver-address8]', 'cbs_250, cbs_350, cat_1300'), ('no ip name-server [server-address1.server-address8]', 'cbs_250, cbs_350, cat_1300')]"
ip policy route-map,"[('ip policy route-map map-tag', 'cbs_250, cbs_350, cat_1300'), ('no ip policy route-map', 'cbs_250, cbs_350, cat_1300')]"
ip proxy-arp,"[('ip proxy-arp', 'cbs_250, cbs_350, cat_1300'), ('no ip proxy-arp', 'cbs_250, cbs_350, cat_1300')]"
ip redirects,"[('ip redirects', 'cbs_250, cbs_350, cat_1300'), ('no ip redirects', 'cbs_250, cbs_350, cat_1300')]"
ip rip authentication key-chain,"[('ip rip authentication key-chain name-of-chain', 'cbs_350, cat_1300'), ('no ip rip authentication key-chain', 'cbs_350, cat_1300')]"
ip rip authentication mode,"[('ip rip authentication mode {text | md5}', 'cbs_350, cat_1300'), ('no ip rip authentication mode', 'cbs_350, cat_1300')]"
ip rip authentication-key,"[('ip rip authentication-key password', 'cbs_350, cat_1300'), ('no ip rip authentication-key', 'cbs_350, cat_1300')]"
ip rip default-information originate,"[('ip rip default-information originate {disable | metric}', 'cbs_350, cat_1300'), ('no ip rip default-information originate', 'cbs_350, cat_1300')]"
ip rip distribute-list in,"[('ip rip distribute-list access access-list-name in', 'cbs_350, cbs_350, cat_1300, cat_1300'), ('no ip rip distribute-list in', 'cbs_350, cbs_350, cat_1300, cat_1300')]"
ip rip distribute-list out,"[('ip rip distribute-list access access-list-name out', 'cbs_350, cbs_350, cat_1300, cat_1300'), ('no ip rip distribute-list out', 'cbs_350, cbs_350, cat_1300, cat_1300')]"
ip rip offset,"[('ip rip offset offset', 'cbs_350, cbs_350, cat_1300, cat_1300'), ('no ip rip offset', 'cbs_350, cbs_350, cat_1300, cat_1300')]"
ip rip passive-interface,"[('ip rip passive-interface', 'cbs_350, cbs_350, cat_1300, cat_1300'), ('no ip rip passive-interface', 'cbs_350, cbs_350, cat_1300, cat_1300')]"
ip rip shutdown,"[('ip rip shutdown', 'cbs_350, cat_1300'), ('no ip rip shutdown', 'cbs_350, cat_1300')]"
ip route,"[('ip route prefix {mask | /prefix-length} {ip-address [metric value]} | reject-route}', 'cbs_250, cbs_350, cat_1300'), ('no ip route prefix {mask | /prefix-length} [ip-address]', 'cbs_250, cbs_350, cat_1300')]"
ip routing,"[('ip routing', 'cbs_250, cbs_350, cat_1300'), ('no ip routing', 'cbs_250, cbs_350, cat_1300')]"
ip source binding,"[('ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id', 'cbs_220'), ('no ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id', 'cbs_220')]"
ip ssh password-auth,"[('ip ssh password-auth', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh password-auth', 'cbs_250, cbs_350, cat_1300')]"
ip ssh port,"[('ip ssh port port-number', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh port', 'cbs_250, cbs_350, cat_1300')]"
ip ssh pubkey-auth,"[('ip ssh pubkey-auth [auto-login]', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh pubkey-auth', 'cbs_250, cbs_350, cat_1300')]"
ip ssh server,"[('ip ssh server', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip ssh server', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
ip ssh-client authentication,"[('ip ssh-client authentication {password | public-key {rsa | dsa}', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client authentication', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client key,"[('ip ssh-client key {dsa | rsa} {generate | key-pair privkey pubkey}', 'cbs_250, cbs_350, cat_1300'), ('encrypted ip ssh-client key {dsa | rsa} key-pair encrypted-privkey pubkey', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client key [dsa | rsa]', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client password,"[('ip ssh-client password string', 'cbs_250, cbs_350, cat_1300'), ('encrypted ip ssh-client password encrypted-string', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client password', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client server authentication,"[('ip ssh-client server authentication', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client server authentication', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client server fingerprint,"[('ip ssh-client server fingerprint {host | ip-address} fingerprint', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client server fingerprint [host | ip-address]', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client source-interface,"[('ip ssh-client source-interface interface-id', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client source-interface', 'cbs_250, cbs_350, cat_1300')]"
ip ssh-client username,"[('ip ssh-client username string', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh-client username', 'cbs_250, cbs_350, cat_1300')]"
ip telnet server,"[('ip telnet server', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no ip telnet server', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
ip verify source,"[('ip verify source [mac-and-ip]', 'cbs_220'), ('no ip verify source', 'cbs_220')]"
ipv6 access-group in,"[('ipv6 access-group acl-name in', 'cbs_220'), ('no ipv6 access-group in', 'cbs_220')]"
ipv6 access-list,"[('ipv6 access-list acl-name', 'cbs_220'), ('no ipv6 access-list acl-name', 'cbs_220')]"
ipv6 access-list (IP standard),"[('ipv6 access-list access-list-name {deny|permit} {src-addr[/src-len] | any}', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 access-list access-list-name', 'cbs_250, cbs_350, cat_1300')]"
ipv6 access-list (IPv6 extended),"[('ipv6 access-list [acl-name]', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 access-list [acl-name]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address,"[('ipv6 address ipv6-address/prefix-length', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address [ipv6-address/prefix-length]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address anycast,"[('ipv6 address ipv6-prefix/prefix-length anycast', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address [ipv6-prefix/prefix-length]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address autoconfig,"[('ipv6 address autoconfig', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address autoconfig', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address dhcp,"[('ipv6 address dhcp [rapid-commit]', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address dhcp', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address eui-64,"[('ipv6 address ipv6-prefix/prefix-length eui-64', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address [ipv6-prefix/prefix-length eui-64]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 address link-local,"[('ipv6 address ipv6-prefix link-local', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 address [link-local]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 default-gateway,"[('ipv6 default-gateway ipv6-address', 'cbs_220'), ('ipv6 default-gateway {ipv6-address [outgoing-interface-id]} | interface-id', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 default-gateway [{ipv6-address [outgoing-interface-id]} | interface-id]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 dhcp client information refresh,"[('ipv6 dhcp client information refresh seconds | infinite', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 dhcp client information refresh', 'cbs_250, cbs_350, cat_1300')]"
ipv6 dhcp client information refresh minimum,"[('ipv6 dhcp client information refresh minimum seconds | infinite', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 dhcp client information refresh minimum', 'cbs_250, cbs_350, cat_1300')]"
ipv6 dhcp duid-en,"[('ipv6 dhcp duid-en enterprise-number identifier', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 dhcp duid-en', 'cbs_250, cbs_350, cat_1300')]"
ipv6 dhcp guard,"[('ipv6 dhcp guard', 'cbs_350, cat_1300'), ('no ipv6 dhcp guard', 'cbs_350, cat_1300')]"
ipv6 dhcp guard attach-policy (VLAN mode),"[('ipv6 dhcp guard attach-policy policy-name', 'cbs_350, cat_1300'), ('no ipv6 dhcp guard attach-policy', 'cbs_350, cat_1300')]"
ipv6 dhcp guard attach-policy (port mode),"[('ipv6 dhcp guard attach-policy policy-name [vlan vlan-list]', 'cbs_350, cat_1300'), ('no ipv6 dhcp guard attach-policy [policy-name]', 'cbs_350, cat_1300')]"
ipv6 dhcp guard policy,"[('ipv6 dhcp guard policy policy-name', 'cbs_350, cat_1300'), ('no ipv6 dhcp guard policy policy-name', 'cbs_350, cat_1300')]"
ipv6 dhcp guard preference,"[('ipv6 dhcp guard preference {[maximum value] [minimum value]}', 'cbs_350, cat_1300'), ('no ipv6 dhcp guard preference [maximum] [minimum]', 'cbs_350, cat_1300')]"
ipv6 dhcp relay destination (Global),"[('ipv6 dhcp relay destination {ipv6-address [interface-id]} | interface-id', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 dhcp relay destination (Interface),"[('ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]', 'cbs_250, cbs_350, cat_1300')]"
ipv6 enable,"[('ipv6 enable', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 enable', 'cbs_250, cbs_350, cat_1300')]"
ipv6 first hop security,"[('ipv6 first hop security', 'cbs_350, cat_1300'), ('no ipv6 first hop security', 'cbs_350, cat_1300')]"
ipv6 first hop security attach-policy (VLAN mode),"[('ipv6 first hop security attach-policy policy-name', 'cbs_350, cat_1300'), ('no ipv6 first hop security attach-policy', 'cbs_350, cat_1300')]"
ipv6 first hop security attach-policy (port mode),"[('ipv6 first hop security attach-policy policy-name [vlan vlan-list]', 'cbs_350, cat_1300'), ('no ipv6 first hop security attach-policy [policy-name]', 'cbs_350, cat_1300')]"
ipv6 first hop security logging packet drop,"[('ipv6 first hop security logging packet drop', 'cbs_350, cat_1300'), ('no ipv6 first hop security logging packet drop', 'cbs_350, cat_1300')]"
ipv6 first hop security policy,"[('ipv6 first hop security policy policy-name', 'cbs_350, cat_1300'), ('no ipv6 first hop security policy policy-name', 'cbs_350, cat_1300')]"
ipv6 hop-limit,"[('ipv6 hop-limit value', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 hop-limit', 'cbs_250, cbs_350, cat_1300')]"
ipv6 icmp error-interval,"[('ipv6 icmp error-interval milliseconds [bucketsize]', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 icmp error-interval', 'cbs_250, cbs_350, cat_1300')]"
ipv6 link-local default zone,"[('Ipv6 link-local default zone interface-id', 'cbs_250, cbs_350, cat_1300'), ('no Ipv6 link-local default zone', 'cbs_250, cbs_350, cat_1300')]"
ipv6 mld filter,"[('ipv6 mld filter profile-number', 'cbs_220'), ('no ipv6 mld filter', 'cbs_220')]"
ipv6 mld last-member-query-count,"[('ipv6 mld last-member-query-count count', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 mld last-member-query-count', 'cbs_250, cbs_350, cat_1300')]"
ipv6 mld last-member-query-interval,"[('ipv6 mld last-member-query-interval milliseconds', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 mld last-member-query-interval', 'cbs_250, cbs_350, cat_1300')]"
ipv6 mld max-groups,"[('ipv6 mld max-groups number', 'cbs_220'), ('no ipv6 mld max-groups number', 'cbs_220'), ('ipv6 mld max-groups action {deny | replace}', 'cbs_220')]"
ipv6 mld profile,"[('ipv6 mld profile profile-number', 'cbs_220'), ('no ip igmp profile profile-number', 'cbs_220')]"
ipv6 mld query-interval,"[('ipv6 mld query-interval seconds', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 mld query-interval', 'cbs_250, cbs_350, cat_1300')]"
ipv6 mld query-max-response-time,"[('ipv6 mld query-max-response-time seconds', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 mld query-max-response-time', 'cbs_250, cbs_350, cat_1300')]"
ipv6 mld robustness,"[('ipv6 mld robustness count', 'cbs_250, cbs_350, cat_1300'), ('no ipv6 mld robustness', 'cbs_250, cbs_350, cat_1300')]"
